ID	P0_1	P0_2	P0_3	P0_4	P50_1	P50_2	P50_3	P50_4	P100_1	P100_2	P100_3	P100_4	P200_1	P200_2	P200_3	P200_4
glpR	0.0000438	0.0000456	0.0000403	0.0000439	0.0000494	0.0000436	0.0000577	0.0000513	0.0000445	0.00005	0.0000487	0.0000458	0.0000478	0.0000477	0.0000549	0.0000521
glpT	0.0000377	0.0000344	0.0000375	0.0000383	0.0000371	0.0000446	0.0000408	0.0000431	0.0000345	0.0000369	0.0000477	0.0000397	0.0000371	0.0000307	0.0000447	0.0000348
GLPF	0.000151892	0.000144724	0.000142819	0.000139081	0.000144152	0.000127343	0.000144042	0.000143229	0.000129132	0.000132391	0.00014682	0.000133727	0.000131619	0.00014769	0.000143395	0.000148426
gcd	0.000899766	0.000950931	0.000979694	0.000958949	0.000911772	0.001026954	0.000874906	0.00095992	0.000993564	0.000991322	0.000959968	0.000951395	0.00090451	0.000811718	0.000858331	0.000770972
ppx	0.000897002	0.000867721	0.000879077	0.000861514	0.0008828	0.000874372	0.000877503	0.000846244	0.000859211	0.000857346	0.000865375	0.00086188	0.000854446	0.000854402	0.000838501	0.000837007
ppa	0.000231449	0.000231661	0.000254062	0.000249245	0.000230832	0.0002385	0.000247528	0.000245249	0.00024178	0.000246444	0.000240229	0.000241078	0.000248703	0.000236609	0.000260203	0.000243236
glpC	0.0000497	0.0000409	0.0000341	0.0000404	0.0000379	0.0000328	0.0000376	0.0000356	0.0000394	0.0000383	0.0000374	0.0000364	0.0000301	0.0000316	0.0000312	0.0000406
pqqC	0.000146277	0.00013442	0.000120595	0.000120694	0.000122145	0.000115223	0.000115673	0.000112263	0.00012666	0.000111677	0.000118813	0.000115277	0.000113047	0.000120805	0.000113683	0.000123451
pqqE	0.0000927	0.0000881	0.0000801	0.0000827	0.0000886	0.0000714	0.0000872	0.0000839	0.0000832	0.0000788	0.0000872	0.0000777	0.000082	0.000081	0.0000916	0.0000958
pqqB	0.0000777	0.0000699	0.0000669	0.0000664	0.0000801	0.0000632	0.0000731	0.0000738	0.0000746	0.0000695	0.0000729	0.0000655	0.0000656	0.0000735	0.0000669	0.0000653
pqqD	0.0000123	0.000011	0.0000124	0.00000998	0.0000139	0.0000089	0.00000753	0.0000131	0.0000116	0.00000859	0.0000082	0.00000813	0.0000104	0.0000105	0.0000107	0.0000122
glpB	0.0000434	0.0000378	0.0000358	0.0000378	0.0000367	0.0000344	0.0000378	0.000034	0.0000357	0.0000327	0.0000357	0.0000309	0.000031	0.0000375	0.0000305	0.0000384
ptsP	0.000218613	0.000203079	0.000239975	0.000244373	0.00023669	0.000224462	0.000221956	0.000229119	0.000210252	0.000242423	0.000230288	0.000227206	0.000227642	0.000207332	0.000228132	0.0001922
aphA	0.000000936	0.000000777	0.000000789	0.00000055	0.000000158	0.000000614	0.000000866	0.000000706	0.000000206	0.000000609	0	0.00000116	0.000000807	0.000000362	0.000000829	0.000000543
phnL	0.000019	0.000021	0.0000236	0.0000238	0.0000234	0.0000221	0.0000273	0.0000235	0.000024	0.0000195	0.0000189	0.0000211	0.0000232	0.0000188	0.0000253	0.0000191
IMPA	0.000592416	0.000586092	0.00056405	0.000579503	0.000560537	0.000556474	0.000574302	0.00056532	0.000547645	0.000557531	0.000548226	0.000543313	0.000561332	0.000558369	0.000561339	0.000589427
opd	0.000180238	0.000157254	0.000155085	0.00015566	0.000153018	0.000148056	0.000154231	0.00014682	0.000158599	0.000143419	0.000148161	0.00015368	0.000138819	0.000145154	0.000128029	0.000144625
rsbU_P	0.000783306	0.000753754	0.000763766	0.000746556	0.000712446	0.000763292	0.000694837	0.000729742	0.000770261	0.000735068	0.000745064	0.000702391	0.000684338	0.000662071	0.000636511	0.000659263
thrH	0.00000682	0.0000058	0.00000747	0.0000077	0.00000871	0.00000852	0.00000872	0.00000942	0.00000701	0.00000877	0.0000125	0.00000902	0.00000774	0.00000551	0.0000114	0.00000706
